crop,year,quarter,production_mt,prod_norm
Abaca (dried raw fiber),2023,2,2873.06,0.16655624439904354
Abaca (dried raw fiber),2023,3,3195.53,0.749106842137001
Abaca (dried raw fiber),2023,4,2931.56,0.2722380441561387
Abaca (dried raw fiber),2024,1,1823.67,-1.7291945905940864
Abaca (dried raw fiber),2024,2,2856.52,0.13667629622840505
Abaca (dried raw fiber),2024,3,3137.17,0.6436779560887259
Abaca (dried raw fiber),2024,4,2885.72,0.1894268697823736
Abaca (dried raw fiber),2025,1,1812.0,-1.7502767547507583
Abaca (dried raw fiber),2025,2,2929.53,0.2685707953782434
Abaca (dried raw fiber),2025,3,2974.8,0.3503522496518109
Pineapple,2020,1,1447.25,-0.4862370481936252
Pineapple,2020,2,4825.8,0.930733745645962
Pineapple,2020,3,1239.8,-0.5732420033317828
Pineapple,2020,4,532.69,-0.8698053864493659
Pineapple,2021,1,1613.85,-0.4163646667715136
Pineapple,2021,2,4788.87,0.9152452279633774
Pineapple,2021,3,539.97,-0.8667521395300802
Pineapple,2021,4,531.1,-0.8704722357078363
Pineapple,2022,1,1574.24,-0.4329771819463626
Pineapple,2022,2,7169.62,1.9137366569591292
Pineapple,2022,3,986.78,-0.6793591098589298
Pineapple,2022,4,476.99,-0.8931660805982953
Pineapple,2023,1,1575.83,-0.43231033268789226
Pineapple,2023,2,7288.64,1.9636538888730533
Pineapple,2023,3,1805.71,-0.33589818958276
Pineapple,2023,4,1479.11,-0.47287489890125745
Pineapple,2024,1,1578.45,-0.4312114993185889
Pineapple,2024,2,7400.99,2.0107737091177964
Pineapple,2024,3,1614.02,-0.4162933684231237
Pineapple,2024,4,1456.61,-0.48231144501168666
Pineapple,2025,1,1561.79,-0.43819873746080007
Pineapple,2025,2,7175.08,1.9160265921485933
Pineapple,2025,3,1288.79,-0.5526954969340082
Sugarcane,2020,1,208289.05,1.6041888550688161
Sugarcane,2020,2,142982.38,0.8213596360247796
Sugarcane,2020,3,15891.2,-0.7020787690689899
Sugarcane,2020,4,10.72,-0.8924376367994139
Sugarcane,2021,1,222332.0,1.772521302299313
Sugarcane,2021,2,88152.89,0.16412007937179401
Sugarcane,2021,3,11.72,-0.8924256498275005
Sugarcane,2021,4,11.04,-0.8924338009684017
Sugarcane,2022,1,195349.65,1.4490846306932907
Sugarcane,2022,2,70239.74,-0.050604346557727206
Sugarcane,2022,3,15.17,-0.8923842947743995
Sugarcane,2022,4,18.91,-0.8923394634994436
Sugarcane,2023,1,198035.98,1.4812855929532647
Sugarcane,2023,2,47426.42,-0.32406697264786033
Sugarcane,2023,3,10.47,-0.8924406335423922
Sugarcane,2023,4,18.09,-0.8923492928164126
Sugarcane,2024,1,178858.67,1.2514077166097703
Sugarcane,2024,2,51962.94,-0.26968783482353614
Sugarcane,2024,3,10.54,-0.8924397944543584
Sugarcane,2024,4,17.13,-0.8923608003094493
Sugarcane,2025,1,192002.19,1.4089587216922477
Sugarcane,2025,2,100953.62,0.3175620703520962
Sugarcane,2025,3,10.58,-0.8924393149754818
